Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
candies hershey reesesticks crispy wafers pnut but milk choc,521.0,9.53,13.21,31.34,55.38,3.3,40.33,70.0,1.3,49,144.0,295.0,264.0,0.99,0.2,0.0,0.7,0.6,0.13,0.1,3.64,0.08,40.0,0.15,14.0,2.77,0.0,9163,6
inf formula  mead johnson  enfami enfagr  soy tod lipil pdr,470.0,15.7,6.218,21.0,56.0,0.0,56.0,930.0,9.5,52,620.0,570.0,171.0,5.7,0.36,0.24,13.3,57.0,0.38,0.43,4.7,0.28,0.0,1.42,430.0,4.28,7.0,8059,6
keebler 100 cal right bites fudge shoppe dk choc fudge strip,479.0,4.5,13.4,20.1,71.2,3.2,39.3,0.0,1.7,43,70.0,362.0,392.0,0.4,0.0,0.0,0.0,0.0,0.29,0.19,2.1,0.01,0.0,0.0,0.0,0,0.1,3664,6
pineapple juc frz conc unswtnd undil,179.0,1.3,0.0069999999999999,0.1,44.3,0.7,43.6,39.0,0.9,35,28.0,472.0,3.0,0.4,0.313,3.439,0.4,42.0,0.23,0.06,0.9,0.255,37.0,0.0,3.0,0.03,0.0,5935,6
cake choc commly prep w choc frstng in-store bakery,389.0,3.48,5.917,20.05,52.84,2.2,39.96,30.0,3.04,31,137.0,270.0,348.0,0.58,0.216,0.329,7.8,0.1,0.0,0.057,0.773,0.0,8.0,0.0,1.0,4.33,0.0,2242,6
cereals rte general mills oatmeal crisp hearty raisin,372.0,8.5,0.8,3.79,80.8,7.5,27.29,32.0,14.5,65,161.0,355.0,195.0,1.5,0.328,0.0,17.3,0.4,0.1,0.1,6.5,0.64,19.0,0.0,0.0,0.39,0.0,9079,6
keebler swt cremes cookies,469.0,4.5,6.5,19.3,71.0,1.3,32.0,0.0,2.5,10,43.0,94.0,267.0,0.5,0.0,0.0,0.0,0.0,0.36,0.22,2.9,0.02,0.0,0.0,0.0,0,0.0,1959,6
inf formula nestle good start 2 essentials w iron pdr,471.0,12.2,8.54,19.3,62.23,0.0,44.3,565.0,8.5,38,377.0,636.0,184.0,4.0,0.4,0.0,9.4,42.0,0.377,0.659,4.71,0.306,0.0,1.2,354.0,6.6,7.7,9594,6
cookies oatmeal commly prep spl dietary,449.0,4.8,2.693,18.0,69.9,2.9,31.65,54.0,4.07,17,122.0,175.0,273.0,0.49,0.151,0.64,4.4,0.3,0.46,0.211,3.236,0.026,7.0,0.0,1.0,1.52,0.0,5808,6
archway home style cookies  oatmeal,421.0,5.48,3.2,14.08,68.17,2.9,34.5,35.0,2.45,0,0.0,219.0,394.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.88,0.0,0.0,0.0,0.0,0,0.0,8780,6
cookies gluten-free choc sndwch w creme filling,474.0,2.19,7.905,17.89,76.03,2.5,49.0,19.0,2.81,40,70.0,157.0,275.0,0.66,0.261,0.515,0.0,0.0,0.05,0.076,0.39,0.0,0.0,0.0,0.0,2.31,0.0,4536,6
marmalade orange,246.0,0.3,0.0,0.0,66.3,0.7,60.0,38.0,0.15,2,4.0,37.0,56.0,0.04,0.09,0.02,0.6,4.8,0.005,0.025,0.052,0.019,9.0,0.0,3.0,0.06,0.0,4625,6
cereals quaker oatmeal real medleys appl walnut dry,390.0,8.18,1.301,10.36,70.53,7.0,29.36,57.0,2.77,86,239.0,344.0,356.0,1.83,0.0,0.0,0.0,0.9,0.269,0.09,1.089,0.148,20.0,0.0,0.0,0.36,0.0,7102,6
archway home style cookies  strawberry filled,400.0,4.35,5.16,13.26,65.92,2.2,31.76,20.0,2.32,0,0.0,118.0,377.0,0.0,0.0,0.0,0.0,0.0,0.34,0.18,2.13,0.0,62.0,0.0,0.0,0,0.0,3415,6
candies reese's fast break candy bar,495.0,8.93,8.036,23.21,63.9,3.6,53.57,36.0,0.64,60,156.0,257.0,321.0,1.45,0.322,0.727,3.7,0.0,0.117,0.113,2.789,0.061,28.0,0.18,14.0,2.56,0.0,7321,6
cookies cocnt macaroon,460.0,3.02,20.099,22.55,61.22,5.1,45.16,5.0,0.82,29,68.0,123.0,241.0,0.73,0.269,0.0,6.8,0.0,0.02,0.06,0.22,0.096,3.0,0.0,0.0,0.19,0.0,3746,6
archway home style cookies  iced molasses,420.0,3.5,4.16,14.43,69.12,1.0,38.43,24.0,4.1,0,0.0,125.0,605.0,0.0,0.0,0.0,0.0,0.0,0.26,0.19,2.39,0.0,61.0,0.0,0.0,0,0.0,4116,6
sugars powdered,389.0,0.0,0.0,0.0,99.77,0.0,97.81,1.0,0.06,0,0.0,2.0,2.0,0.01,0.0069999999999999,0.004,0.6,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0,0.0,7655,6
cookie vanilla w caramel cocnt  choc coating,489.0,3.5,17.7,25.8,64.1,4.4,35.8,40.0,3.2,30,76.0,195.0,182.0,0.5,0.38,0.227,9.4,0.2,0.14,0.12,1.2,0.05,8.0,0.04,6.0,2.42,0.0,3138,6
frostings glaze prepared-from-recipe,341.0,0.44,0.271,0.53,83.65,0.0,80.44,17.0,0.03,2,13.0,30.0,6.0,0.06,0.006,0.0139999999999999,1.0,0.0,0.006,0.045,0.039,0.006,1.0,0.05,4.0,0,0.0,386,6
dates  dry  dark brown ,310.939,2.38,0.114,0.35,72.67,9.1,68.84,66.13,4.79,75.23,70.26,782.0,3.09,0.58,0.44,0.84,0.77,3.84,0.02,0.03,1.09,0.153,12.8,0.0,0.0,0.03,0.0006799999999999,564,6
pillsbury traditional fudge brownie mix dry,441.0,4.8,2.608,12.1,78.3,0.0,49.6,0.0,2.81,0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2607,6
cookies sugar refr dough,436.0,4.0,4.955,19.48,61.22,0.9,36.51,8.0,1.85,7,169.0,147.0,328.0,0.24,0.037,0.308,3.1,0.0,0.205,0.122,2.412,0.019,8.0,0.02,11.0,0.19,0.0,458,6
candies fudge vanilla prepared-from-recipe,383.0,1.05,3.382,5.45,82.15,0.0,79.77,38.0,0.02,3,30.0,49.0,47.0,0.15,0.004,0.002,1.7,0.0,0.0139999999999999,0.074,0.038,0.009,1.0,0.08,46.0,0.14,0.0,8674,6
